Title,Artist,Cluster
Shock The Monkey,Peter Gabriel,4
Digging in the Dirt - 2002 Remaster,Peter Gabriel,4
Glory of Love,Peter Cetera,4
After All (Love Theme From Chances Are),Cher,3
After All (Love Theme From Chances Are),Peter Cetera,3
The Next Time I Fall (with Amy Grant),Peter Cetera,3
The Next Time I Fall (with Amy Grant),Amy Grant,3
You're the Inspiration,Peter Cetera,4
Leaving on a Jet Plane,"Peter, Paul and Mary",3
"Don't Think Twice, It's All Right","Peter, Paul and Mary",3
"Puff, the Magic Dragon","Peter, Paul and Mary",3
Blowin' in the Wind,"Peter, Paul and Mary",3
500 Miles,"Peter, Paul and Mary",3
If I Had a Hammer - 2004 Remaster,"Peter, Paul and Mary",3
Tell It on the Mountain,"Peter, Paul and Mary",3
Where Have All the Flowers Gone - 2004 Remaster,"Peter, Paul and Mary",3
Lemon Tree - 2004 Remaster,"Peter, Paul and Mary",3
Michael Row the Boat Ashore,"Peter, Paul and Mary",3
This Land Is Your Land - Remastered,"Peter, Paul and Mary",3
For Lovin' Me - 2004 Remaster,"Peter, Paul and Mary",3
The Times They Are A-Changin' - Live Version; 2003 Remaster,"Peter, Paul and Mary",1
Early Mornin' Rain - 2004 Remaster,"Peter, Paul and Mary",3
I Dig Rock and Roll Music - 2004 Remaster,"Peter, Paul and Mary",4
Day Is Done - 2004 Remaster,"Peter, Paul and Mary",3
Wedding Song (There Is Love) - Remastered Version,Noel Paul Stookey,3
Follow Me - Remastered,Mary Travers,3
Let My Love Open The Door,Pete Townshend,4
Face The Face,Pete Townshend,0
Imagine - Remastered 2010,John Lennon,3
Woman - Remastered 2010,John Lennon,4
Jealous Guy - Remastered 2010,John Lennon,3
Stand By Me - Remastered 2010,John Lennon,4
Mind Games - Remastered 2010,John Lennon,0
Beautiful Boy (Darling Boy) - Remastered 2010,John Lennon,1
(Just Like) Starting Over - Remastered 2010,John Lennon,4
I'm Losing You - Remastered 2010,John Lennon,1
Whatever Gets You Thru The Night - Remastered 2010,John Lennon,1
#9 Dream - Remastered 2010,John Lennon,4
Crippled Inside - Remastered 2010,John Lennon,4
Power To The People - Ultimate Mix,John Lennon,4
Instant Karma! (We All Shine On) - Remastered 2010,John Lennon,0
Instant Karma! (We All Shine On) - Remastered 2010,The Plastic Ono Band,0
Instant Karma! (We All Shine On) - Remastered 2010,Yoko Ono,0
Power To The People - Remastered 2010,John Lennon,4
Power To The People - Remastered 2010,The Plastic Ono Band,4
Happy Xmas (War Is Over) - Remastered 2010,John Lennon,1
Happy Xmas (War Is Over) - Remastered 2010,The Harlem Community Choir,1
Happy Xmas (War Is Over) - Remastered 2010,The Plastic Ono Band,1
Happy Xmas (War Is Over) - Remastered 2010,Yoko Ono,1
Give Peace A Chance - Remastered 2010,The Plastic Ono Band,1
Baby Blue - US Single Mix / Remastered 2010,Badfinger,4
Day After Day - Remastered 2010,Badfinger,4
No Matter What - Remastered 2010,Badfinger,4
Come And Get It - Remastered 2010,Badfinger,4
Without You,Harry Nilsson,3
"Everybody's Talkin' - From ""Midnight Cowboy""",Harry Nilsson,3
Coconut,Harry Nilsson,4
Me and My Arrow,Harry Nilsson,4
The Air That I Breathe - 2008 Remaster,The Hollies,0
"He Ain't Heavy, He's My Brother",The Hollies,3
Carrie-Anne,The Hollies,4
Stop Stop Stop - Mono; 1999 Remaster,The Hollies,4
Look Through Any Window - 2003 Remaster,The Hollies,0
On a Carousel - 2003 Remaster,The Hollies,4
Jennifer Eccles - 2003 Remaster,The Hollies,4
Never My Love - Remastered Version,The Association,3
Windy - Remastered Version,The Association,4
Along Comes Mary,The Association,4
Cherish,The Association,3
Indian Reservation (The Lament of the Cherokee Reservation Indian),Paul Revere & The Raiders,3
Indian Reservation (The Lament of the Cherokee Reservation Indian),The Raiders,3
Kicks,Paul Revere & The Raiders,4
I'm Not Your Stepping Stone,Paul Revere & The Raiders,1
Glad All Over - 2019 - Remaster,The Dave Clark Five,4
Bits and Pieces - 2019 - Remaster,The Dave Clark Five,0
Because - 2019 - Remaster,The Dave Clark Five,4
Catch Us If You Can - 2019 - Remaster,The Dave Clark Five,4
Over and Over - 2019 - Remaster,The Dave Clark Five,4
Can't You See That She's Mine - 2019 - Remaster,The Dave Clark Five,4
I Like it Like That - 2019 - Remaster,The Dave Clark Five,4
Any Way You Want It - 2019 - Remaster,The Dave Clark Five,4
Na Na Hey Hey Kiss Him Goodbye,Steam,4
Yellow River,Lou Christie,4
I'm Gonna Make You Mine,Lou Christie,4
Tears on My Pillow,Little Anthony & The Imperials,3
Mr. Bass Man,Johnny Cymbal,0
Come A Little Bit Closer,Jay & The Americans,1
This Magic Moment,Jay & The Americans,4
Cara Mia,Jay & The Americans,1
Some Enchanted Evening,Jay & The Americans,3
Walkin' In The Rain,Jay & The Americans,3
She Cried,Jay & The Americans,3
Hushabye,Jay & The Americans,3
Only in America,Jay & The Americans,3
See You in September,The Happenings,3
I Got Rhythm,The Happenings,3
Dizzy,Tommy Roe,4
Sheila,Tommy Roe,4
Sweet Pea,Tommy Roe,4
Jam Up And Jelly Tight,Tommy Roe,4
Hooray For Hazel,Tommy Roe,4
Down in the Boondocks,Billy Joe Royal,4
Cherry Hill Park,Billy Joe Royal,4
Five O'Clock World,The Vogues,4
"Turn Around, Look at Me",The Vogues,3
My Special Angel,The Vogues,3
You're the One,The Vogues,4
Five O'clock World,The Vogues,4
The Next Time We Wed,The Fratellis,4
Collide,Howie Day,4
Don't Dream It's Over,Crowded House,3
Something So Strong,Crowded House,4
The Eyes Of A New York Woman,B.J. Thomas,4
Hooked On A Feeling,B.J. Thomas,4
I'm So Lonesome I Could Cry,B.J. Thomas,3
Raindrops Keep Fallin' On My Head,B.J. Thomas,3
I Just Can't Help Believing,B.J. Thomas,3
Rock And Roll Lullaby,B.J. Thomas,3
No Love At All,B.J. Thomas,4
Most Of All,B.J. Thomas,3
Mama,B.J. Thomas,4
Mighty Clouds Of Joy,B.J. Thomas,3
Chocolate Fudge,Mannheim Steamroller,4
Not Alone,Patty Griffin,3
Lovin' You,Minnie Riperton,3
Copacabana (At the Copa) - Long Version,Barry Manilow,0
Bomb Iran (1980),Vince Vance & The Valiants,4
Pushin' Too Hard,The Seeds,4
Baby Blue,The Chocolate Watchband,4
Spirit In The Sky,Norman Greenbaum,4
I Saw the Light - 2015 Remaster,Todd Rundgren,0
Let's Work Together,Canned Heat,4
All the Young Dudes,Mott The Hoople,1
"I Want You to Want Me - Live at Nippon Budokan, Tokyo, JPN - April 1978",Cheap Trick,1
Surrender,Cheap Trick,1
The Flame,Cheap Trick,3
"Mighty Wings - From ""Top Gun"" Original Soundtrack",Cheap Trick,4
Dream Police,Cheap Trick,4
If You Want My Love,Cheap Trick,4
There She Goes,The Boo Radleys,4
Standing Outside a Broken Phone Booth with Money in My Hand,Primitive Radio Gods,4
Six Days in June,The Fratellis,4
Kiss Me,Sixpence None The Richer,4
There She Goes,Sixpence None The Richer,4
Torn,Natalie Imbruglia,1
Flood,Jars Of Clay,0
Lovefool,The Cardigans,4
Stupid Girl - Remastered 2015,Garbage,0
Only Happy When It Rains,Garbage,0
I Think I'm Paranoid,Garbage,4
Baby It's You,Smith,0
Time Has Come Today,The Chambers Brothers,4
Like To Get To Know You - Greatest Hit(s) Version,Spanky & Our Gang,3
Lazy Day,Spanky & Our Gang,1
Cinnamon Girl - 2009 Remaster,Neil Young,4
Cinnamon Girl - 2009 Remaster,Crazy Horse,4
"My My, Hey Hey (Out of the Blue) - 2016 Remaster",Neil Young,3
"My My, Hey Hey (Out of the Blue) - 2016 Remaster",Crazy Horse,3
Powderfinger - 2016 Remaster,Neil Young,4
Powderfinger - 2016 Remaster,Crazy Horse,4
"Hey Hey, My My (Into the Black) - 2016 Remaster",Neil Young,1
"Hey Hey, My My (Into the Black) - 2016 Remaster",Crazy Horse,1
Heart of Gold - 2009 Remaster,Neil Young,0
Old Man - 2009 Remaster,Neil Young,3
Rockin' in the Free World,Neil Young,0
Down by the River - 2009 Remaster,Neil Young,4
Down by the River - 2009 Remaster,Crazy Horse,4
Mr. Soul,Buffalo Springfield,4
Crazy Love,Poco,3
Time of the Season - Mono Version,The Zombies,0
She's Not There,The Zombies,0
Tell Her No,The Zombies,0
White Rabbit,Jefferson Airplane,3
Jane,Jefferson Starship,4
Miracles,Jefferson Starship,0
Count on Me,Jefferson Starship,3
Find Your Way Back,Jefferson Starship,1
Runaway,Jefferson Starship,4
With Your Love - Remastered,Jefferson Starship,3
No Way Out,Jefferson Starship,0
Rock Music,Jefferson Starship,4
Ride the Tiger,Jefferson Starship,0
Layin' It on the Line,Jefferson Starship,0
We Built This City,Starship,4
Sara,Starship,4
Nothing's Gonna Stop Us Now,Starship,4
Fresh Air - Remastered,Quicksilver Messenger Service,0
In-A-Gadda-Da-Vida - 2006 Remaster Full-Length,Iron Butterfly,4
You Keep Me Hangin' On,Vanilla Fudge,0
"Better By You, Better Than Me",Spooky Tooth,0
Never Been Any Reason,Head East,4
Slow Ride - Edit,Foghat,4
I Just Want to Make Love to You,Foghat,4
Fool for the City,Foghat,4
Drivin' Wheel,Foghat,4
Jim Dandy,Black Oak Arkansas,4
Flirtin' with Disaster,Molly Hatchet,4
Whiskey Man,Molly Hatchet,4
It's All Over Now,Molly Hatchet,4
Jukin' City,Molly Hatchet,4
One Man's Pleasure,Molly Hatchet,4
Boogie No More,Molly Hatchet,1
Good Rockin',Molly Hatchet,4
Gunsmoke,Molly Hatchet,4
Long Time,Molly Hatchet,0
"Train, Train",Blackfoot,4
Keep Your Hands to Yourself,The Georgia Satellites,4
(Ghost) Riders In The Sky,Marty Robbins,3
Fire on the Mountain,The Marshall Tucker Band,0
Heard It in a Love Song,The Marshall Tucker Band,4
Freeze-Frame,The J. Geils Band,4
Must of Got Lost,The J. Geils Band,4
Love Stinks,The J. Geils Band,1
Caught Up In You,38 Special,0
Hold On Loosely,38 Special,4
Second Chance,38 Special,4
Rockin' Into The Night,38 Special,4
If I'd Been The One,38 Special,4
Working for the Weekend,Loverboy,4
Turn Me Loose,Loverboy,4
Lovin' Every Minute of It,Loverboy,4
The Kid Is Hot Tonite,Loverboy,0
Hot Girls In Love,Loverboy,4
Sister Christian,Night Ranger,3
Don't Tell Me You Love Me,Night Ranger,0
When You Close Your Eyes,Night Ranger,4
(You Can Still) Rock In America,Night Ranger,0
Jessie's Girl,Rick Springfield,4
Don't Talk to Strangers,Rick Springfield,0
I've Done Everything for You,Rick Springfield,4
Heavy Metal,Sammy Hagar,4
I Can't Drive 55,Sammy Hagar,4
There's Only One Way To Rock,Sammy Hagar,0
Mas Tequila,Sammy Hagar,1
Once Bitten Twice Shy,Great White,4
Rock Me,Great White,0
House Of Broken Love,Great White,0
Kick Start My Heart,Great White,4
Just a Gigolo / I Ain't Got Nobody - 45 Version,David Lee Roth,4
Burning Bridges,Mike Curb Congregation,4
Cherry Pie,Warrant,4
Heaven,Warrant,4
Nobody's Fool,Cinderella,0
Every Rose Has Its Thorn - Remastered 2003,Poison,4
Nothin' But A Good Time - Remastered 2006,Poison,4
Unskinny Bop,Poison,4
Talk Dirty To Me,Poison,4
Round and Round,Ratt,4
Seventeen,Winger,4
Cum on Feel the Noize,Quiet Riot,0
Bang Your Head (Metal Health),Quiet Riot,0
We're Not Gonna Take It,Twisted Sister,4
I Wanna Rock,Twisted Sister,4
Alone Again,Dokken,0
Down To The Waterline,Dire Straits,0
Once Upon A Time In The West,Dire Straits,0
News,Dire Straits,0
Where Do You Think You're Going,Dire Straits,0
Communiqué,Dire Straits,4
Lady Writer,Dire Straits,0
Angel Of Mercy,Dire Straits,4
Portobello Belle,Dire Straits,4
Single Handed Sailor,Dire Straits,0
Follow Me Home,Dire Straits,0
Tunnel of Love (Intro: The Carousel Waltz),Dire Straits,4
Romeo and Juliet,Dire Straits,4
Skateaway,Dire Straits,4
Telegraph Road,Dire Straits,0
Private Investigations,Dire Straits,2
Industrial Disease,Dire Straits,4
Solid Rock,Dire Straits,4
So Far Away,Dire Straits,4
Money for Nothing,Dire Straits,0
Walk of Life,Dire Straits,4
Brothers in Arms,Dire Straits,2
It Never Rains,Dire Straits,4
Calling Elvis,Dire Straits,4
On Every Street,Dire Straits,3
Heavy Fuel,Dire Straits,4
Why Worry,Dire Straits,3
When It Comes To You,Dire Straits,0
Twisting by the Pool,Dire Straits,4
Love over Gold - Live 1983,Dire Straits,1
Your Latest Trick - Live 1992,Dire Straits,1
With A Little Help From My Friends,Joe Cocker,3
"Up Where We Belong - From ""An Officer And A Gentleman""",Joe Cocker,3
"Up Where We Belong - From ""An Officer And A Gentleman""",Jennifer Warnes,3
You Are So Beautiful,Joe Cocker,3
Unchain My Heart,Joe Cocker,0
Feelin' Alright,Joe Cocker,4
You Can Leave Your Hat On,Joe Cocker,4
High Time We Went,Joe Cocker,4
Gone Hollywood - 2010 Remastered,Supertramp,3
Goodbye Stranger - 2010 Remastered,Supertramp,3
Breakfast In America - 2010 Remastered,Supertramp,0
Take The Long Way Home - 2010 Remastered,Supertramp,4
Oh Darling - 2010 Remastered,Supertramp,4
Just Another Nervous Wreck - 2010 Remastered,Supertramp,4
Child Of Vision - 2010 Remastered,Supertramp,0
Bloody Well Right - Remastered 2010,Supertramp,3
The Day Begins,The Moody Blues,2
Dawn: Dawn Is A Feeling,The Moody Blues,2
The Morning: Another Morning,The Moody Blues,2
Lunch Break: Peak Hour,The Moody Blues,0
The Afternoon,The Moody Blues,1
Evening,The Moody Blues,3
The Night,The Moody Blues,3
Go Now!,The Moody Blues,0
Departure,The Moody Blues,3
Ride My See-Saw,The Moody Blues,1
"Dr. Livingstone, I Presume",The Moody Blues,1
House Of Four Doors - Part 1,The Moody Blues,3
Legend Of A Mind,The Moody Blues,3
House Of Four Doors - Part 2,The Moody Blues,3
Voices In The Sky,The Moody Blues,3
The Best Way To Travel,The Moody Blues,1
Visions Of Paradise,The Moody Blues,2
The Actor,The Moody Blues,3
The Word,The Moody Blues,1
Om,The Moody Blues,3
Lovely To See You,The Moody Blues,1
Question,The Moody Blues,1
And The Tide Rushes In,The Moody Blues,3
Melancholy Man,The Moody Blues,3
The Story In Your Eyes,The Moody Blues,4
Lost In A Lost World,The Moody Blues,1
New Horizons,The Moody Blues,4
For My Lady,The Moody Blues,3
Isn't Life Strange,The Moody Blues,3
You And Me,The Moody Blues,4
The Land Of Make Believe,The Moody Blues,1
I'm Just A Singer (In A Rock And Roll Band),The Moody Blues,0
Isn't Life Strange,The Moody Blues,3
When You're A Free Man,The Moody Blues,0
The Voice,The Moody Blues,4
Talking Out Of Turn,The Moody Blues,4
Gemini Dream,The Moody Blues,4
In My World,The Moody Blues,4
Meanwhile,The Moody Blues,4
"22,000 Days",The Moody Blues,0
Nervous,The Moody Blues,3
Painted Smile,The Moody Blues,1
Reflective Smile,The Moody Blues,1
Veteran Cosmic Rocker,The Moody Blues,4
The Voice,The Moody Blues,4
Steppin' In A Slide Zone,The Moody Blues,0
Your Wildest Dreams,The Moody Blues,4
No Son of Mine - 2007 Remaster,Genesis,4
Jesus He Knows Me - 2007 Remaster,Genesis,0
I Can't Dance - 2007 Remaster,Genesis,4
Hold on My Heart - 2007 Remaster,Genesis,3
"Tonight, Tonight, Tonight - 2007 Remaster",Genesis,4
Invisible Touch - 2007 Remaster,Genesis,4
Land of Confusion - 2007 Remaster,Genesis,4
In Too Deep - 2007 Remaster,Genesis,3
Throwing It All Away - 2007 Remaster,Genesis,4
Mama - 2007 Remaster,Genesis,1
That's All - 2007 Remaster,Genesis,0
Home by the Sea - 2007 Remaster,Genesis,0
Illegal Alien - 2007 Remaster,Genesis,4
Taking It All Too Hard - 2007 Remaster,Genesis,4
Just a Job to Do - 2007 Remaster,Genesis,0
It's Gonna Get Better - 2007 Remaster,Genesis,4
Abacab - 2007 Remaster,Genesis,4
No Reply at All - 2007 Remaster,Genesis,4
Man on the Corner - 2007 Remaster,Genesis,3
Behind the Lines,Genesis,4
Misunderstanding,Genesis,4
Turn It on Again,Genesis,0
Follow You Follow Me - 2007 Remaster,Genesis,4
Blinded By The Light,Manfred Mann's Earth Band,4
Conquistador,Procol Harum,0
Spinning Wheel,"Blood, Sweat & Tears",4
You've Made Me So Very Happy,"Blood, Sweat & Tears",0
And When I Die,"Blood, Sweat & Tears",4
God Bless the Child,"Blood, Sweat & Tears",3
Hi-De-Ho,"Blood, Sweat & Tears",3
Lucretia Mac Evil,"Blood, Sweat & Tears",4
I Can't Quit Her - Mono Version,"Blood, Sweat & Tears",0
Year of the Cat,Al Stewart,0
On the Border - 2001 Remaster,Al Stewart,4
Time Passages,Al Stewart,4
Just Remember I Love You,Firefall,3
What Can I Say,Boz Scaggs,4
Georgia,Boz Scaggs,4
Jump Street,Boz Scaggs,4
What Do You Want the Girl to Do,Boz Scaggs,4
Harbor Lights,Boz Scaggs,3
Lowdown,Boz Scaggs,0
It's Over,Boz Scaggs,4
Love Me Tomorrow,Boz Scaggs,0
Lido Shuffle,Boz Scaggs,4
We're All Alone,Boz Scaggs,3
JoJo,Boz Scaggs,0
Heart of Mine,Boz Scaggs,3
Love Me Like a Man - 2008 Remaster,Bonnie Raitt,0
Thing Called Love,Bonnie Raitt,4
Love Letter,Bonnie Raitt,4
Cry On My Shoulder,Bonnie Raitt,3
Real Man,Bonnie Raitt,4
Nobody's Girl,Bonnie Raitt,3
Have A Heart,Bonnie Raitt,3
Too Soon To Tell,Bonnie Raitt,3
I Will Not Be Denied,Bonnie Raitt,0
I Ain't Gonna Let You Break My Heart Again,Bonnie Raitt,3
The Road's My Middle Name,Bonnie Raitt,0
Nick Of Time,Bonnie Raitt,0
I Can't Make You Love Me,Bonnie Raitt,3
Papa Come Quick (Jody And Chico),Bonnie Raitt,4
Luck Of The Draw,Bonnie Raitt,3
Not The Only One,Bonnie Raitt,4
Something To Talk About,Bonnie Raitt,4
Love Sneakin' Up On You,Bonnie Raitt,4
Longing In Their Hearts,Bonnie Raitt,4
Dimming Of The Day,Bonnie Raitt,3
You,Bonnie Raitt,3
I Sho Do,Bonnie Raitt,4
Simple Man,The Charlie Daniels Band,3
(What This World Needs Is) A Few More Rednecks,The Charlie Daniels Band,4
Radio Ga Ga,Queen,4
Play The Game,Queen,3
Another One Bites The Dust,Queen,0
Bicycle Race,Queen,0
Don't Stop Me Now,Queen,1
We Are The Champions,Queen,3
We Will Rock You,Queen,0
Tie Your Mother Down,Queen,4
Somebody To Love,Queen,4
Good Old Fashioned Lover Boy,Queen,3
Keep Yourself Alive,Queen,4
Killer Queen - Remastered 2011,Queen,4
Now I'm Here - Remastered 2011,Queen,4
Stone Cold Crazy - Remastered 2011,Queen,4
You're My Best Friend - Remastered 2011,Queen,4
Bohemian Rhapsody - Remastered 2011,Queen,0
Your Song,Elton John,3
Take Me To The Pilot,Elton John,4
Border Song,Elton John,3
Burn Down The Mission,Elton John,4
Country Comfort,Elton John,4
Levon,Elton John,4
Razor Face,Elton John,4
Madman Across The Water,Elton John,0
Tiny Dancer,Elton John,3
Honky Cat,Elton John,4
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,3
Mona Lisas And Mad Hatters,Elton John,3
Daniel,Elton John,4
Elderberry Wine,Elton John,4
Crocodile Rock,Elton John,0
Funeral For A Friend / Love Lies Bleeding - Remastered 2014,Elton John,0
Candle In The Wind - Remastered 2014,Elton John,4
Bennie And The Jets - Remastered 2014,Elton John,1
Goodbye Yellow Brick Road - Remastered 2014,Elton John,3
This Song Has No Title - Remastered 2014,Elton John,3
Grey Seal - Remastered 2014,Elton John,4
All The Girls Love Alice - Remastered 2014,Elton John,0
Saturday Night’s Alright (For Fighting) - Remastered 2014,Elton John,4
Harmony - Remastered 2014,Elton John,4
The Bitch Is Back,Elton John,4
Pinky,Elton John,4
Grimsby,Elton John,4
Dixie Lily,Elton John,4
Solar Prestige A Gammon,Elton John,4
You're So Static,Elton John,4
Stinker,Elton John,4
Ticking,Elton John,3
Don't Let The Sun Go Down On Me,Elton John,4
Sick City,Elton John,4
Step Into Christmas,Elton John,4
Cold Highway,Elton John,4
Lucy In The Sky With Diamonds,Elton John,4
Medley: Yell Help / Wednesday Night / Ugly,Elton John,4
Dan Dare (Pilot Of The Future),Elton John,4
Island Girl,Elton John,4
Grow Some Funk Of Your Own,Elton John,4
I Feel Like A Bullet (In The Gun Of Robert Ford),Elton John,3
Street Kids,Elton John,4
Hard Luck Story,Elton John,4
Feed Me,Elton John,4
Billy Bones And The White Bird,Elton John,4
Sorry Seems To Be The Hardest Word,Elton John,3
Little Jeannie,Elton John,3
Blue Eyes - Remastered 2003,Elton John,3
I'm Still Standing,Elton John,4
I Guess That's Why They Call It The Blues,Elton John,4
Sad Songs (Say So Much),Elton John,4
Nikita,Elton John,4
I Don't Wanna Go On With You Like That,Elton John,0
Sacrifice,Elton John,0
Believe,Elton John,0
Blessed,Elton John,4
Something About The Way You Look Tonight,Elton John,4
I Want Love,Elton John,4
C'est La Vie,"Emerson, Lake & Palmer",3
Still...You Turn Me On - 2014 Remaster,"Emerson, Lake & Palmer",3
Jerusalem - 2014 Remaster,"Emerson, Lake & Palmer",0
Toccata - 2014 Remaster,"Emerson, Lake & Palmer",4
Karn Evil 9 2nd Impression - 2014 Remaster,"Emerson, Lake & Palmer",2
"Karn Evil 9 1st Impression, Pt. 1 - 2014 Remaster","Emerson, Lake & Palmer",4
Hoedown - 2015 Remaster,"Emerson, Lake & Palmer",4
From the Beginning - 2015 Remaster,"Emerson, Lake & Palmer",3
Lucky Man - 2012 Remaster,"Emerson, Lake & Palmer",3
Peter Gunn (Live 1977),"Emerson, Lake & Palmer",1
Nutrocker,Trans-Siberian Orchestra,4
Christmas Eve / Sarajevo 12/24 - Instrumental,Trans-Siberian Orchestra,0
Wizards in Winter - Instrumental,Trans-Siberian Orchestra,0
Silent Lucidity - Remastered 2003,Queensrÿche,4
Jet City Woman - Remastered 2003,Queensrÿche,1
Another Rainy Night (Without You) - Remastered 2003,Queensrÿche,0
New York Groove,Ace Frehley,4
How Long,Ace,0
Couldn't Get It Right,Climax Blues Band,4
I Love You,Climax Blues Band,3
Steal Away - Remastered,Robbie Dupree,4
Baby Come Back,Player,0
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,4
T.N.T.,AC/DC,4
Dirty Deeds Done Dirt Cheap,AC/DC,0
Big Balls,AC/DC,1
The Jack,AC/DC,4
Problem Child,AC/DC,4
Highway to Hell,AC/DC,0
Girls Got Rhythm,AC/DC,0
Hells Bells,AC/DC,0
Shoot to Thrill,AC/DC,4
What Do You Do for Money Honey,AC/DC,1
Givin the Dog a Bone,AC/DC,4
Back In Black,AC/DC,4
You Shook Me All Night Long,AC/DC,4
Have a Drink on Me,AC/DC,1
Shake a Leg,AC/DC,4
Rock and Roll Ain't Noise Pollution,AC/DC,4
For Those About to Rock (We Salute You),AC/DC,1
Who Made Who,AC/DC,1
Moneytalks,AC/DC,4
Hard as a Rock,AC/DC,4
November Rain,Guns N' Roses,4
Paradise City,Guns N' Roses,4
Knockin' On Heaven's Door,Guns N' Roses,4
Civil War,Guns N' Roses,0
You Could Be Mine,Guns N' Roses,0
Don't Cry (Original),Guns N' Roses,4
Live And Let Die,Guns N' Roses,4
Patience,Guns N' Roses,3
Welcome To The Jungle,Guns N' Roses,4
Sweet Child O' Mine,Guns N' Roses,4
Mr. Brownstone,Guns N' Roses,4
I Was Made For Lovin' You,KISS,4
Rock And Roll All Nite,KISS,4
Detroit Rock City,KISS,4
Lick It Up,KISS,4
Heaven's On Fire,KISS,4
Domino,KISS,4
Detroit Rock City,KISS,1
King Of The Night Time World,KISS,4
God Of Thunder,KISS,1
Great Expectations,KISS,4
Flaming Youth,KISS,4
Sweet Pain,KISS,1
Shout It Out Loud,KISS,4
Do You Love Me,KISS,4
Since You Been Gone,Rainbow,4
Man On The Silver Mountain,Rainbow,0
Jailbreak,AC/DC,4
Holy Diver,Dio,4
The Last in Line,Dio,0
Rainbow in the Dark,Dio,0
Hush,Deep Purple,4
Child in Time,Deep Purple,0
Space Truckin',Deep Purple,4
Woman from Tokyo,Deep Purple,4
Strange Kind of Woman,Deep Purple,0
Black Night - Single Version,Deep Purple,4
Highway Star - 1997 Remix,Deep Purple,0
Kickstart My Heart,Mötley Crüe,0
"Girls, Girls, Girls",Mötley Crüe,4
Home Sweet Home,Mötley Crüe,4
Dr. Feelgood,Mötley Crüe,4
Shout At The Devil,Mötley Crüe,4
Looks That Kill,Mötley Crüe,4
Wild Side,Mötley Crüe,4
Smokin' In The Boys Room,Mötley Crüe,4
Too Young To Fall In Love,Mötley Crüe,0
Make It,Aerosmith,4
Mama Kin,Aerosmith,4
One Way Street,Aerosmith,4
Walkin' The Dog,Aerosmith,4
Movin' Out,Aerosmith,4
Same Old Song and Dance,Aerosmith,4
Train Kept a Rollin',Aerosmith,1
Pandora's Box,Aerosmith,4
Toys In The Attic,Aerosmith,0
Adam's Apple,Aerosmith,4
Walk This Way,Aerosmith,4
No More No More,Aerosmith,4
Round And Round,Aerosmith,1
You See Me Crying,Aerosmith,3
Uncle Salty,Aerosmith,4
Last Child,Aerosmith,1
Remember (Walking In The Sand),Aerosmith,1
Rag Doll,Aerosmith,4
Dude (Looks Like A Lady),Aerosmith,4
Angel,Aerosmith,4
Going Down/ Love In An Elevator,Aerosmith,4
Water Song/Janie's Got A Gun,Aerosmith,4
Dulcimer Stomp/ The Other Side,Aerosmith,4
Heart's Done Time,Aerosmith,1
What It Takes,Aerosmith,4
Eat The Rich,Aerosmith,0
Livin' On The Edge,Aerosmith,4
Shut Up And Dance,Aerosmith,1
Cryin',Aerosmith,4
Crazy,Aerosmith,0
Amazing,Aerosmith,4
Falling In Love (Is Hard On The Knees),Aerosmith,0
Taste of India,Aerosmith,4
Ain't That A Bitch,Aerosmith,0
Pink,Aerosmith,4
Hole In My Soul,Aerosmith,4
Jaded,Aerosmith,4
18 and Life,Skid Row,0
I Remember You,Skid Row,4
Youth Gone Wild,Skid Row,0
Lay It Down,Ratt,4
Getting Closer - Remastered 1993,Wings,4
"Old Siam, Sir - Remastered 1993",Wings,4
Down Under,Men At Work,0
Who Can It Be Now?,Men At Work,4
Overkill,Men At Work,0
It's A Mistake,Men At Work,4
Be Good Johnny,Men At Work,4
You're Still The One,Shania Twain,4
Man! I Feel Like A Woman!,Shania Twain,4
Any Man Of Mine,Shania Twain,4
That Don't Impress Me Much,Shania Twain,0
Space Cowboy - Remastered,Steve Miller Band,1
Living In The U.S.A. - 1991 Remaster,Steve Miller Band,1
I Want To Make The World Turn Around,Steve Miller Band,0
Abracadabra,Steve Miller Band,0
Jet Airliner,Steve Miller Band,4
Swingtown,Steve Miller Band,4
True Fine Love,Steve Miller Band,4
Winter Time,Steve Miller Band,2
Jungle Love,Steve Miller Band,1
Wild Mountain Honey,Steve Miller Band,3
"Dance, Dance, Dance",Steve Miller Band,4
Rock'n Me,Steve Miller Band,4
Serenade,Steve Miller Band,0
Mercury Blues,Steve Miller Band,3
You Send Me,Steve Miller Band,3
The Window,Steve Miller Band,0
The Joker,Steve Miller Band,4
Living In The U.S.A.,Steve Miller Band,1
Rock This Town,Stray Cats,4
Stray Cat Strut - 2000 Digital Remaster / 24-Bit Mastering,Stray Cats,0
Rumble In Brighton - 2000 Digital Remaster / 24-Bit Mastering,Stray Cats,4
Built For Speed - 2000 Digital Remaster / 24-Bit Mastering,Stray Cats,4
Rev It Up And Go - 2000 Digital Remaster,Stray Cats,4
Runaway Boys - 2000 Digital Remaster / 24-Bit Mastering,Stray Cats,0
(She's) Sexy + 17 - 2000 Digital Remaster / 24-Bit Mastering,Stray Cats,4
Look At That Cadillac - 2000 Digital Remaster / 24-Bit Mastering,Stray Cats,4
